1+0i,0.0001+0i,-0+0i,4+0i,1+0i,0.0007600784301757812+0i
1+0i,1e-06+0i,-0+0i,4+0i,1+0i,0.0004301071166992188+0i
1+0i,1e-08+0i,-0+0i,4+0i,1+0i,0.0003731250762939453+0i
1+0i,1e-10+0i,-0+0i,4+0i,1+0i,0.0003659725189208984+0i
1+0i,1e-12+0i,-0+0i,4+0i,1+0i,0.0003671646118164062+0i
2+0i,0.0001+0i,-0+0i,5+0i,1+0i,0.0005009174346923828+0i
2+0i,1e-06+0i,-0+0i,5+0i,1+0i,0.0005121231079101562+0i
2+0i,1e-08+0i,-0+0i,5+0i,1+0i,0.0007841587066650391+0i
2+0i,1e-10+0i,-0+0i,5+0i,1+0i,0.0006728172302246094+0i
2+0i,1e-12+0i,-0+0i,5+0i,1+0i,0.0005080699920654297+0i
3+0i,0.0001+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.05251383781433105+0i
3+0i,1e-06+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.03841900825500488+0i
3+0i,1e-08+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.03862905502319336+0i
3+0i,1e-10+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.0444788932800293+0i
3+0i,1e-12+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.03805708885192871+0i
4+0i,0.0001+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.03947997093200684+0i
4+0i,1e-06+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.0395209789276123+0i
4+0i,1e-08+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.04510617256164551+0i
4+0i,1e-10+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.03836894035339355+0i
4+0i,1e-12+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.03815889358520508+0i
5+0i,0.0001+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.03833603858947754+0i
5+0i,1e-06+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.03925299644470215+0i
5+0i,1e-08+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.03896713256835938+0i
5+0i,1e-10+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.03835797309875488+0i
5+0i,1e-12+0i,-0.1448738026396014-0.2412762155983416i,1000+0i,1.468747327272162+0i,0.03847789764404297+0i
1+0i,0.0001+0i,1.55963155846587+0i,14+0i,6.092464865847802e-05+0i,0.0159611701965332+0i
1+0i,1e-06+0i,1.559610631982455+0i,20+0i,4.694998270160511e-07+0i,0.002036094665527344+0i
1+0i,1e-08+0i,1.559610466644288+0i,25+0i,8.141078033929716e-09+0i,0.002881050109863281+0i
1+0i,1e-10+0i,1.559610469440652+0i,31+0i,6.273914721077745e-11+0i,0.003565788269042969+0i
1+0i,1e-12+0i,1.559610469462202+0i,37+0i,4.836131495267182e-13+0i,0.004112005233764648+0i
2+0i,0.0001+0i,1.55963155846587+0i,13+0i,6.092464865847802e-05+0i,0.001086950302124023+0i
2+0i,1e-06+0i,1.559610631982455+0i,19+0i,4.694998270160511e-07+0i,0.001497030258178711+0i
2+0i,1e-08+0i,1.559610466644288+0i,24+0i,8.141078033929716e-09+0i,0.001909971237182617+0i
2+0i,1e-10+0i,1.559610469440652+0i,30+0i,6.273914721077745e-11+0i,0.002343893051147461+0i
2+0i,1e-12+0i,1.559610469462202+0i,36+0i,4.836131495267182e-13+0i,0.002846956253051758+0i
3+0i,0.0001+0i,1.559589238922786+0i,14+0i,6.133108581152236e-05+0i,0.001080036163330078+0i
3+0i,1e-06+0i,1.559610305847824+0i,20+0i,4.726614366568072e-07+0i,0.0015869140625+0i
3+0i,1e-08+0i,1.55961047229943+0i,25+0i,8.195904399599385e-09+0i,0.001928091049194336+0i
3+0i,1e-10+0i,1.559610469484233+0i,31+0i,6.316103196013501e-11+0i,0.002492189407348633+0i
3+0i,1e-12+0i,1.559610469462538+0i,37+0i,4.862776847858186e-13+0i,0.002894163131713867+0i
4+0i,0.0001+0i,1.559582990655823+0i,14+0i,7.93807003107716e-05+0i,0.001134157180786133+0i
4+0i,1e-06+0i,1.559610257694432+0i,20+0i,6.117703803543151e-07+0i,0.001581907272338867+0i
4+0i,1e-08+0i,1.559610467830384+0i,26+0i,4.714596046895281e-09+0i,0.002065896987915039+0i
4+0i,1e-10+0i,1.559610469490668+0i,31+0i,8.175060628445863e-11+0i,0.002455949783325195+0i
4+0i,1e-12+0i,1.559610469462587+0i,37+0i,6.301625887772389e-13+0i,0.002926111221313477+0i
5+0i,0.0001+0i,1.559624393127264+0i,15+0i,4.022421698168799e-05+0i,0.001219987869262695+0i
5+0i,1e-06+0i,1.559610228029264+0i,20+0i,6.974692232653013e-07+0i,0.002176046371459961+0i
5+0i,1e-08+0i,1.55961046760177+0i,26+0i,5.375032641197208e-09+0i,0.002170085906982422+0i
5+0i,1e-10+0i,1.559610469448031+0i,32+0i,4.142286513797444e-11+0i,0.002624034881591797+0i
5+0i,1e-12+0i,1.559610469462618+0i,37+0i,7.176481631177012e-13+0i,0.003134965896606445+0i
1+0i,0.0001+0i,-0+0i,4+0i,1+0i,0.0002911090850830078+0i
1+0i,1e-06+0i,-0+0i,4+0i,1+0i,0.0002179145812988281+0i
1+0i,1e-08+0i,-0+0i,4+0i,1+0i,0.00020599365234375+0i
1+0i,1e-10+0i,-0+0i,4+0i,1+0i,0.0002179145812988281+0i
1+0i,1e-12+0i,-0+0i,4+0i,1+0i,0.0002169609069824219+0i
2+0i,0.0001+0i,-0+0i,5+0i,1+0i,0.0002801418304443359+0i
2+0i,1e-06+0i,-0+0i,5+0i,1+0i,0.0002601146697998047+0i
2+0i,1e-08+0i,-0+0i,5+0i,1+0i,0.0002398490905761719+0i
2+0i,1e-10+0i,-0+0i,5+0i,1+0i,0.0002388954162597656+0i
2+0i,1e-12+0i,-0+0i,5+0i,1+0i,0.0002391338348388672+0i
3+0i,0.0001+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.03921389579772949+0i
3+0i,1e-06+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.03946995735168457+0i
3+0i,1e-08+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.0392298698425293+0i
3+0i,1e-10+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.03849387168884277+0i
3+0i,1e-12+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.03906607627868652+0i
4+0i,0.0001+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.03816986083984375+0i
4+0i,1e-06+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.0382080078125+0i
4+0i,1e-08+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.03871607780456543+0i
4+0i,1e-10+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.0384821891784668+0i
4+0i,1e-12+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.03895998001098633+0i
5+0i,0.0001+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.0381009578704834+0i
5+0i,1e-06+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.0381929874420166+0i
5+0i,1e-08+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.03824806213378906+0i
5+0i,1e-10+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.04408001899719238+0i
5+0i,1e-12+0i,-0.1448738026396013-0.2412762155983416i,1000+0i,1.468747327272161+0i,0.03871583938598633+0i
